player_code,player_name,team,G,PA,AB,H,HR,BB,HBP,SO,RBI,RUN,AVG,OBP,SLG,OPS
77532,손아섭,Unknown,36,164,142,42,1,21,1,26,19,24,0.296,0.39,0.317,0.707
62404,구자욱,Unknown,36,160,141,38,9,15,4,29,23,24,0.27,0.356,0.461,0.817
78224,김재환,Unknown,35,158,142,44,8,16,0,31,23,25,0.31,0.38,0.479,0.859
62947,나성범,Unknown,36,157,145,47,6,10,2,40,21,32,0.324,0.376,0.448,0.824
62415,박해민,Unknown,36,157,146,39,2,11,0,19,12,16,0.267,0.318,0.308,0.626
78168,서건창,Unknown,35,152,137,46,1,15,0,11,21,19,0.336,0.401,0.358,0.759
72443,최형우,Unknown,37,147,125,48,6,19,3,16,24,27,0.384,0.476,0.528,1.004
76249,민병헌,Unknown,32,143,127,40,4,8,8,24,13,19,0.315,0.392,0.409,0.801
63963,권희동,Unknown,36,139,121,32,4,16,2,24,22,16,0.264,0.36,0.364,0.724
71564,이대호,Unknown,32,137,116,46,9,16,5,18,22,21,0.397,0.489,0.629,1.118
67935,스크럭스,Unknown,32,137,110,31,10,23,4,43,22,25,0.282,0.423,0.555,0.978
62700,하주석,Unknown,31,136,128,41,4,6,2,26,16,17,0.32,0.36,0.414,0.774
74215,윤석민,Unknown,31,135,123,45,2,9,3,12,16,19,0.366,0.422,0.415,0.837
75847,최정,Unknown,33,134,106,32,13,19,9,26,28,27,0.302,0.448,0.67,1.118
79109,오지환,Unknown,36,133,121,38,5,10,2,29,22,21,0.314,0.376,0.438,0.814
66244,에반스,Unknown,31,132,117,34,6,15,0,22,17,19,0.291,0.371,0.444,0.815
71347,장민석,Unknown,31,131,123,34,0,8,0,26,8,16,0.276,0.321,0.276,0.597
65103,히메네스,Unknown,32,130,116,37,5,11,3,13,26,23,0.319,0.392,0.448,0.84
75566,이원석,Unknown,36,128,116,23,1,11,1,25,9,11,0.198,0.273,0.224,0.497
67598,번즈,Unknown,32,128,117,29,3,8,3,28,10,15,0.248,0.312,0.325,0.637
78603,김선빈,Unknown,36,128,120,41,1,7,1,13,20,16,0.342,0.383,0.367,0.75
61404,김헌곤,Unknown,35,127,116,35,4,8,3,20,21,14,0.302,0.362,0.405,0.767
67341,이정후,Unknown,32,127,120,40,2,7,0,12,12,30,0.333,0.37,0.383,0.753
67650,버나디나,Unknown,30,124,112,28,1,9,3,23,11,15,0.25,0.323,0.277,0.6
66838,김동엽,Unknown,31,123,117,32,7,2,4,19,26,20,0.274,0.309,0.453,0.762
74339,유한준,Unknown,32,121,114,29,1,7,0,15,13,8,0.254,0.298,0.281,0.579
77564,김민성,Unknown,30,121,110,34,1,9,2,17,19,14,0.309,0.372,0.336,0.708
78135,이형종,Unknown,31,120,107,35,3,11,2,16,15,17,0.327,0.4,0.411,0.811
79240,허경민,Unknown,34,119,101,28,2,14,4,9,19,14,0.277,0.387,0.337,0.724
78629,나지완,Unknown,31,119,98,28,6,16,5,26,24,19,0.286,0.412,0.469,0.881
78813,모창민,Unknown,29,119,113,39,5,6,0,20,26,17,0.345,0.378,0.478,0.856
72133,박용택,Unknown,29,119,109,32,1,9,1,23,15,16,0.294,0.353,0.321,0.674
64300,김하성,Unknown,31,118,106,26,4,11,1,15,19,19,0.245,0.322,0.358,0.68
74540,강민호,Unknown,33,118,103,32,4,12,3,31,13,11,0.311,0.398,0.427,0.825
95436,이승엽,Unknown,29,117,107,27,4,9,1,18,15,11,0.252,0.316,0.364,0.68
79608,안치홍,Unknown,30,117,110,32,3,5,2,14,17,20,0.291,0.333,0.373,0.706
71552,최준석,Unknown,30,117,102,33,2,15,0,18,17,9,0.324,0.41,0.382,0.792
76509,김문호,Unknown,29,117,101,30,0,12,4,27,9,10,0.297,0.393,0.297,0.69
76753,송광민,Unknown,31,116,109,32,1,6,1,26,19,13,0.294,0.336,0.321,0.657
73153,이대형,Unknown,31,115,109,27,0,6,0,16,5,11,0.248,0.287,0.248,0.535
73113,박경수,Unknown,29,114,100,30,7,14,0,22,20,15,0.3,0.386,0.51,0.896
74206,김재호,Unknown,31,114,100,26,2,13,1,18,20,9,0.26,0.351,0.32,0.671
76232,양의지,Unknown,28,114,96,33,3,15,3,18,20,14,0.344,0.447,0.438,0.885
75808,정근우,Unknown,30,112,103,32,3,6,3,10,18,18,0.311,0.366,0.398,0.764
62895,한동민,Unknown,29,111,96,33,11,9,6,22,26,20,0.344,0.432,0.688,1.12
64153,양석환,Unknown,35,110,101,29,1,7,2,19,12,15,0.287,0.345,0.317,0.662
70410,김주찬,Unknown,29,110,105,20,2,4,1,13,12,14,0.19,0.227,0.248,0.475
75151,정의윤,Unknown,32,110,100,26,4,6,4,21,12,13,0.26,0.327,0.38,0.707
79456,이지영,Unknown,34,109,100,25,0,8,1,17,12,5,0.25,0.312,0.25,0.562
77248,오재원,Unknown,29,108,89,19,1,18,1,18,11,11,0.213,0.352,0.247,0.599
62802,박승욱,Unknown,33,108,97,24,2,11,0,31,10,14,0.247,0.324,0.309,0.633
65399,허정협,Unknown,29,107,94,26,7,9,4,25,24,19,0.277,0.364,0.5,0.864
79215,박건우,Unknown,26,105,84,22,1,17,4,21,6,16,0.262,0.41,0.298,0.708
64610,강한울,Unknown,30,105,100,31,0,5,0,14,1,11,0.31,0.343,0.31,0.653
73306,지석훈,Unknown,30,105,96,23,2,4,5,21,11,11,0.24,0.305,0.302,0.607
78122,김태군,Unknown,34,103,94,24,0,2,7,12,9,8,0.255,0.32,0.255,0.575
77463,채태인,Unknown,28,101,91,32,3,8,2,18,11,14,0.352,0.416,0.451,0.867
66740,로사리오,Unknown,22,99,91,27,6,7,1,11,16,14,0.297,0.354,0.495,0.849
67450,러프,Unknown,24,99,81,18,3,14,4,23,9,12,0.222,0.364,0.333,0.697
74846,박정권,Unknown,30,99,89,25,3,9,1,23,12,12,0.281,0.354,0.382,0.736
76849,이명기,Unknown,25,96,91,32,1,4,1,15,15,12,0.352,0.385,0.385,0.77
76812,이재원,Unknown,30,96,91,23,1,3,2,18,8,10,0.253,0.292,0.286,0.578
72466,조동찬,Unknown,30,94,86,32,5,6,2,17,14,12,0.372,0.426,0.547,0.973
75334,오재일,Unknown,26,92,82,17,1,9,1,15,13,9,0.207,0.293,0.244,0.537
78548,장성우,Unknown,30,92,79,18,1,12,1,15,12,4,0.228,0.337,0.266,0.603
70553,박기혁,Unknown,30,91,88,24,1,3,0,19,4,8,0.273,0.297,0.307,0.604
72546,문규현,Unknown,31,90,87,22,0,2,1,17,5,10,0.253,0.278,0.253,0.531
74729,최진행,Unknown,27,90,82,20,1,6,2,26,7,3,0.244,0.311,0.28,0.591
73606,서동욱,Unknown,30,89,83,23,1,5,1,23,11,12,0.277,0.326,0.313,0.639
62864,김민식,Unknown,32,87,77,18,0,9,1,15,9,9,0.234,0.322,0.234,0.556
64006,심우준,Unknown,30,87,83,21,1,2,2,23,11,7,0.253,0.287,0.289,0.576
76802,김성현,Unknown,28,87,80,21,0,7,0,4,3,10,0.262,0.322,0.262,0.584
99810,이진영,Unknown,28,87,84,22,0,3,0,9,5,6,0.262,0.287,0.262,0.549
74465,박석민,Unknown,23,85,77,16,2,8,0,24,10,7,0.208,0.282,0.286,0.568
60558,오태곤,Unknown,32,84,74,16,1,7,3,24,5,13,0.216,0.31,0.257,0.567
67024,모넬,Unknown,21,81,66,12,2,14,1,20,8,9,0.182,0.333,0.273,0.606
62934,김성욱,Unknown,35,81,72,12,0,5,4,22,3,12,0.167,0.259,0.167,0.426
72456,손주인,Unknown,27,81,75,23,0,4,2,10,10,10,0.307,0.358,0.307,0.665
71752,김태균,Unknown,19,80,66,26,2,14,0,7,14,11,0.394,0.5,0.485,0.985
73209,나주환,Unknown,26,80,74,21,5,5,1,16,20,13,0.284,0.338,0.486,0.824
60566,이상호,Unknown,25,79,76,22,0,3,0,9,5,7,0.289,0.316,0.289,0.605
63704,노수광,Unknown,27,79,69,18,0,6,4,18,0,12,0.261,0.354,0.261,0.615
78217,김용의,Unknown,27,77,67,20,0,10,0,23,6,10,0.299,0.39,0.299,0.689
79192,채은성,Unknown,24,77,72,15,0,2,3,17,4,3,0.208,0.26,0.208,0.468
76267,최주환,Unknown,27,74,65,21,0,8,1,9,9,8,0.323,0.405,0.323,0.728
78288,최재훈,Unknown,27,73,63,25,0,7,3,6,7,8,0.397,0.479,0.397,0.876
61102,유강남,Unknown,30,71,67,12,2,1,3,7,8,6,0.179,0.225,0.269,0.494
62556,신본기,Unknown,29,71,61,9,1,8,2,21,10,6,0.148,0.268,0.197,0.465
71565,이우민,Unknown,29,70,63,19,1,6,1,12,5,9,0.302,0.371,0.349,0.72
74605,김주형,Unknown,21,69,61,9,0,7,1,8,7,8,0.148,0.246,0.148,0.394
71837,김강민,Unknown,21,69,62,16,1,7,0,16,8,9,0.258,0.333,0.306,0.639
61869,정진기,Unknown,27,66,62,17,3,3,1,17,11,11,0.274,0.318,0.419,0.737
73342,이택근,Unknown,21,65,58,17,0,7,0,13,8,5,0.293,0.369,0.293,0.662
99606,정성훈,Unknown,24,64,55,16,1,8,1,10,5,5,0.291,0.391,0.345,0.736
60523,정훈,Unknown,29,63,52,14,1,10,1,17,3,8,0.269,0.397,0.327,0.724
79365,박동원,Unknown,20,62,58,14,1,3,1,11,10,7,0.241,0.29,0.293,0.583
74823,임훈,Unknown,28,61,58,17,0,2,1,11,3,5,0.293,0.328,0.293,0.621
74163,이용규,Unknown,15,60,54,17,1,5,1,8,5,10,0.315,0.383,0.37,0.753
73339,이종욱,Unknown,16,59,55,15,1,3,1,5,11,7,0.273,0.322,0.327,0.649
60343,이해창,Unknown,25,57,51,11,2,6,0,10,5,8,0.216,0.298,0.333,0.631
61353,고종욱,Unknown,16,56,51,11,1,5,0,13,3,7,0.216,0.286,0.275,0.561
64086,신성현,Unknown,24,56,54,10,1,1,1,14,7,4,0.185,0.214,0.241,0.455
64868,조용호,Unknown,16,55,51,14,0,3,1,9,2,6,0.275,0.327,0.275,0.602
70756,이범호,Unknown,15,54,48,14,0,4,2,8,5,4,0.292,0.37,0.292,0.662
62234,류지혁,Unknown,32,53,49,14,0,4,0,9,4,9,0.286,0.34,0.286,0.626
78513,전준우,Unknown,12,52,48,16,5,3,1,11,14,11,0.333,0.385,0.646,1.031
71842,정상호,Unknown,28,51,47,16,0,2,2,10,3,8,0.34,0.392,0.34,0.732
63913,최재원,Unknown,24,51,46,13,0,4,1,16,5,7,0.283,0.353,0.283,0.636
62332,김재현,Unknown,26,51,49,11,1,1,1,14,8,5,0.224,0.255,0.286,0.541
66508,나경민,Unknown,22,51,49,14,0,1,1,14,5,6,0.286,0.314,0.286,0.6
63634,이홍구,Unknown,24,50,46,12,6,2,2,19,13,7,0.261,0.32,0.652,0.972
79453,오정복,Unknown,22,47,45,14,0,2,0,9,3,3,0.311,0.34,0.311,0.651
62907,박민우,Unknown,11,46,39,13,0,3,4,8,0,10,0.333,0.435,0.333,0.768
73725,이양기,Unknown,17,46,44,10,0,2,0,10,3,0,0.227,0.261,0.227,0.488
62353,박정음,Unknown,16,44,37,10,0,3,4,10,6,6,0.27,0.386,0.27,0.656
61700,강경학,Unknown,26,44,41,8,0,3,0,9,3,7,0.195,0.25,0.195,0.445
63920,김준완,Unknown,28,44,36,9,0,8,0,10,3,4,0.25,0.386,0.25,0.636
