player_code,player_name,team,G,IP,IP_float,H,HR,BB,HBP,SO,R,ER,pitch_count,ERA,WHIP
66643,헥터,Unknown,7,49.2,49.666666666666664,54,5,6,2,37,11,11,731,1.99,1.21
64021,박세웅,Unknown,8,47.2,47.666666666666664,44,2,19,3,29,21,19,787,3.59,1.32
79229,유희관,Unknown,7,47.2,47.666666666666664,47,4,10,2,31,24,23,757,4.34,1.2
67435,페트릭,Unknown,7,44.3,44.99999999999999,46,4,17,2,25,23,21,736,4.2,1.4
62698,소사,Unknown,7,44.1,44.333333333333336,41,1,7,0,30,11,11,643,2.23,1.08
65856,켈리,Unknown,7,44.1,44.333333333333336,53,6,11,4,52,24,23,703,4.67,1.44
65331,피어밴드,Unknown,6,43.0,43.0,34,4,4,1,33,9,8,544,1.67,0.88
67033,로치,Unknown,7,42.1,42.333333333333336,53,6,10,2,28,20,15,685,3.19,1.49
65320,최원태,Unknown,6,42.0,42.0,35,6,8,0,30,17,17,559,3.64,1.02
63111,류제국,Unknown,7,41.1,41.333333333333336,37,3,15,2,45,17,14,669,3.05,1.26
77637,양현종,Unknown,6,41.1,41.333333333333336,43,0,3,0,38,7,7,592,1.52,1.11
62754,임기영,Unknown,7,40.2,40.66666666666667,40,2,5,2,23,12,9,611,1.99,1.11
65546,레일리,Unknown,7,40.2,40.666666666666664,44,6,7,3,44,15,14,667,3.1,1.25
67645,팻딘,Unknown,6,40.0,40.0,45,4,7,4,29,15,13,627,2.92,1.3
67748,오간도,Unknown,7,39.2,39.66666666666667,43,1,7,3,33,17,16,675,3.63,1.26
76455,차우찬,Unknown,6,39.1,39.33333333333333,39,4,9,4,41,13,11,627,2.52,1.22
62937,신재영,Unknown,6,39.1,39.33333333333333,37,2,2,5,24,12,12,516,2.75,0.99
61240,니퍼트,Unknown,6,38.2,38.66666666666667,32,1,13,0,29,11,10,616,2.33,1.16
74454,윤성환,Unknown,6,38.1,38.333333333333336,37,2,11,3,26,20,19,597,4.46,1.25
62363,한현희,Unknown,10,38.1,38.33333333333333,30,2,6,10,27,16,10,553,2.35,0.94
64001,고영표,Unknown,7,37.2,37.66666666666667,35,3,6,6,38,15,14,603,3.35,1.09
63938,해커,Unknown,6,37.1,37.333333333333336,37,4,3,6,22,14,13,518,3.13,1.07
67948,맨쉽,Unknown,6,37.1,37.33333333333333,25,1,11,2,34,9,7,575,1.69,0.96
74513,장원준,Unknown,6,34.2,34.66666666666667,38,3,14,2,29,17,16,641,4.15,1.5
74838,윤희상,Unknown,6,34.2,34.666666666666664,33,2,10,3,28,15,14,579,3.63,1.24
62869,문승원,Unknown,9,34.1,34.33333333333333,43,5,14,1,22,24,23,624,6.03,1.66
62966,최금강,Unknown,9,32.0,32.0,30,2,13,6,16,16,14,566,3.94,1.34
60264,정대현,Unknown,6,31.2,31.666666666666664,42,3,7,1,12,24,22,514,6.25,1.55
67742,비야누에바,Unknown,5,31.1,31.333333333333332,18,1,6,4,19,10,8,469,2.3,0.77
66145,김대현,Unknown,11,31.0,31.0,29,5,7,0,17,18,18,420,5.23,1.16
60841,박종훈,Unknown,6,31.0,31.0,33,2,17,4,22,17,17,555,4.94,1.61
63248,함덕주,Unknown,6,30.2,30.666666666666668,27,3,18,2,32,19,17,565,4.99,1.47
63512,박진형,Unknown,6,30.1,30.333333333333332,31,4,12,1,31,16,16,520,4.75,1.42
73117,우규민,Unknown,7,29.1,29.333333333333332,37,5,5,2,21,22,18,456,5.52,1.43
62322,밴헤켄,Unknown,5,28.1,28.333333333333332,25,3,9,2,22,14,13,484,4.13,1.2
73801,송은범,Unknown,7,28.1,28.33333333333333,27,2,18,3,10,19,19,482,6.04,1.59
