Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
김병희,64014,70,5,0.452,0.346,18.6,21.4,52,7,3,0,13,3,15
양의지,76232,559,30,0.427,0.26,12.2,10.7,470,92,28,2,68,11,60
강백호,68050,624,16,0.425,0.173,16.3,13.6,513,123,39,1,102,1,85
최정,75847,552,34,0.416,0.281,15.0,18.3,434,68,18,1,83,22,101
이정후,67341,540,7,0.415,0.159,11.5,6.9,460,112,40,6,62,9,37
홍창기,66108,653,4,0.393,0.08,16.7,14.7,526,141,26,2,109,16,96
한유섬,62895,517,30,0.388,0.251,11.8,18.6,439,72,18,1,61,10,96
김재환,78224,570,27,0.385,0.226,14.4,22.3,478,79,23,2,82,5,127
추신수,51817,577,21,0.384,0.188,17.9,21.3,458,79,19,2,103,12,123
알테어,50923,559,32,0.384,0.245,10.0,27.5,489,81,20,2,56,11,154
박지훈,50204,14,0,0.382,0.083,7.1,21.4,12,3,1,0,1,1,3
전준우,78513,617,6,0.382,0.116,8.4,11.5,551,141,46,0,52,5,71
최정민,62893,19,0,0.381,0.0,15.8,36.8,15,5,0,0,3,1,7
오재일,75334,480,25,0.381,0.229,11.9,21.9,415,74,20,0,57,0,105
남태혁,66052,22,1,0.379,0.2,4.5,31.8,20,4,1,0,1,1,7
구자욱,62404,606,21,0.377,0.21,7.9,15.8,539,104,30,10,48,6,96
노시환,69737,458,18,0.376,0.195,15.9,23.4,380,66,18,1,73,1,107
김태연,66704,220,3,0.375,0.119,15.5,20.0,176,38,12,0,34,5,44
박건우,79215,529,6,0.374,0.117,9.5,13.6,462,111,32,2,50,11,72
피렐라,51463,617,29,0.373,0.211,9.2,14.4,549,100,25,2,57,8,89
권희동,63963,166,7,0.373,0.186,16.9,14.5,129,23,3,0,28,5,24
나성범,62947,612,34,0.372,0.236,6.0,24.7,560,96,28,1,37,11,151
페르난데스,69209,621,15,0.372,0.131,10.5,5.6,544,132,26,0,65,6,35
유한준,74339,337,5,0.371,0.11,13.1,10.1,282,66,16,0,44,7,34
한석현,64101,26,0,0.37,0.19,11.5,26.9,21,3,2,1,3,1,7
강민호,74540,458,18,0.368,0.189,9.6,11.6,403,78,22,0,44,4,53
김성표,63435,24,0,0.366,0.0,20.8,29.2,18,6,0,0,5,0,7
박석민,74465,201,10,0.366,0.228,13.4,20.4,167,25,8,0,27,2,41
정훈,60523,557,14,0.366,0.147,12.0,15.8,483,101,27,1,67,3,88
안치홍,79608,492,10,0.363,0.151,10.6,12.0,423,88,30,2,52,3,59
