Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
나성범,62947,254,18,0.464,0.306,10.2,14.2,222,50,12,1,26,1,36
박한결,53992,18,1,0.451,0.267,16.7,38.9,15,3,1,0,3,0,7
박수종,52305,50,0,0.431,0.111,6.0,12.0,45,16,1,2,3,1,6
최정,75847,553,29,0.403,0.251,10.7,15.7,471,80,31,0,59,15,87
노시환,69737,596,31,0.402,0.243,12.4,19.8,514,91,30,1,74,4,118
구자욱,62404,515,11,0.394,0.159,10.3,15.7,453,103,37,1,53,4,81
최형우,72443,512,17,0.388,0.186,12.7,16.2,431,85,27,1,65,9,83
이주형,50167,243,6,0.387,0.181,7.8,21.8,215,47,13,4,19,5,53
오스틴,53123,585,23,0.386,0.204,9.1,12.8,520,107,29,4,53,3,75
홍창기,66108,645,1,0.384,0.08,13.6,12.9,524,136,35,2,88,22,83
양의지,76232,510,17,0.384,0.169,11.2,11.0,439,94,23,0,57,11,56
박건우,79215,533,12,0.383,0.162,10.5,13.3,458,98,34,2,56,9,71
정보근,68518,101,1,0.382,0.136,13.9,12.9,81,19,6,1,14,1,13
이정후,67341,388,6,0.379,0.136,12.6,5.9,330,74,23,2,49,3,23
도슨,53327,261,3,0.375,0.118,6.9,15.7,229,58,14,2,18,9,41
전준우,78513,560,17,0.373,0.158,9.3,11.6,493,113,21,3,52,7,65
에레디아,53827,524,12,0.372,0.137,7.4,14.3,473,112,29,0,39,9,75
김혜성,67304,622,7,0.371,0.112,9.2,12.4,556,144,29,6,57,3,77
손아섭,77532,610,5,0.368,0.103,8.2,11.0,551,143,36,3,50,2,67
하재훈,69813,229,7,0.367,0.164,8.3,23.1,201,43,10,1,19,5,53
김도영,52605,386,7,0.358,0.15,9.8,16.1,340,71,20,5,38,1,62
김형준,68912,82,6,0.358,0.278,9.8,29.3,72,9,2,0,8,1,24
로하스,53211,464,19,0.358,0.221,11.9,14.7,403,55,24,4,55,3,68
강민호,74540,495,16,0.357,0.154,9.9,13.1,434,91,19,0,49,6,65
문보경,69102,544,10,0.356,0.147,10.7,15.3,469,97,29,5,58,2,83
마틴,53955,503,17,0.356,0.172,11.3,21.3,435,84,20,2,57,1,107
알포드,52009,550,15,0.355,0.167,8.5,25.5,491,93,31,3,47,6,140
추신수,51817,463,12,0.352,0.144,14.0,17.1,382,67,17,1,65,14,79
권희동,63963,374,7,0.35,0.12,13.1,13.4,309,65,16,0,49,6,50
박병호,75125,496,18,0.35,0.16,9.3,23.0,431,89,15,0,46,8,114
소크라테스,52630,612,20,0.349,0.177,8.5,13.1,547,102,31,3,52,1,80
최항,62884,35,1,0.347,0.143,14.3,34.3,28,6,1,0,5,0,12
박민우,62907,510,2,0.347,0.088,7.8,11.2,452,114,20,7,40,10,57
채은성,79192,596,23,0.346,0.165,8.7,17.1,521,97,17,0,52,20,102
정훈,60523,233,6,0.345,0.159,11.2,16.7,201,36,14,0,26,0,39
최인호,50707,148,2,0.345,0.13,6.8,14.9,131,29,5,3,10,4,22
양석환,64153,582,21,0.343,0.174,7.0,22.9,524,98,28,0,41,6,133
황재균,76313,458,6,0.343,0.118,9.8,14.0,407,86,26,2,45,1,64
문성주,68119,536,2,0.341,0.078,12.5,6.3,449,105,21,4,67,8,34
안치홍,79608,496,8,0.341,0.108,9.9,10.7,425,95,20,1,49,10,53
오지환,79109,504,8,0.34,0.128,12.7,16.3,422,78,24,3,64,8,82
이우성,63260,402,8,0.339,0.115,7.7,20.1,355,82,17,0,31,5,81
구드럼,53506,201,0,0.338,0.092,11.4,22.9,173,36,14,1,23,1,46
장성우,78548,465,11,0.338,0.134,9.0,15.1,410,85,22,0,42,2,70
피렐라,51463,605,16,0.337,0.14,6.9,11.4,557,114,28,1,42,4,69
김지찬,50458,355,1,0.336,0.038,13.5,10.1,291,78,4,2,48,9,36
강백호,68050,274,8,0.335,0.151,11.3,20.1,238,44,10,1,31,0,55
박대온,64944,33,0,0.335,0.107,9.1,24.2,28,5,3,0,3,1,8
박동원,79365,482,20,0.334,0.193,10.2,18.7,409,64,17,1,49,7,90
한유섬,62895,388,7,0.332,0.12,8.8,20.9,333,67,15,2,34,12,81
김현수,76290,558,6,0.332,0.09,10.4,9.5,488,113,22,2,58,1,53
이창진,64560,287,4,0.33,0.119,11.8,15.3,244,48,11,3,34,2,44
정수빈,79231,583,2,0.33,0.084,11.0,10.8,498,116,14,11,64,7,63
