Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO,wRC+,wRAA,WAR
디아즈,54400,614,49,0.434,0.33,9.4,16.0,539,90,31,0,58,6,98,182.1,60.49,6.1
안현민,52001,477,22,0.443,0.237,15.3,14.9,392,87,19,4,73,9,71,188.0,50.38,5.08
송성문,65357,642,26,0.401,0.216,10.6,14.8,570,114,37,4,68,1,95,157.6,44.38,4.49
오스틴,53123,495,31,0.422,0.284,12.1,12.3,422,76,25,1,60,2,61,173.2,43.49,4.39
최형우,72443,545,24,0.405,0.223,12.1,17.8,466,89,30,1,66,8,97,160.7,39.69,4.01
양의지,76232,512,20,0.408,0.196,9.8,12.3,449,104,26,1,50,7,63,162.8,38.56,3.9
구자욱,62404,601,17,0.393,0.19,11.6,15.0,517,102,43,2,70,5,90,152.2,37.62,3.81
데이비슨,54944,435,36,0.407,0.327,7.1,27.1,382,59,17,0,31,8,118,161.9,32.33,3.27
레이예스,54529,634,13,0.376,0.15,9.1,10.4,565,125,44,1,58,3,66,139.6,30.14,3.07
김성윤,67449,524,6,0.387,0.145,11.5,10.1,448,106,29,9,60,4,53,147.5,29.9,3.03
노시환,69737,624,32,0.371,0.237,11.2,20.0,539,78,28,2,70,11,125,136.3,27.2,2.77
에레디아,53827,411,13,0.392,0.154,7.5,14.6,371,95,18,0,31,7,60,151.4,25.37,2.57
문보경,69102,602,24,0.365,0.186,13.0,17.8,511,95,21,1,78,4,107,132.1,23.17,2.37
김주원,51907,619,14,0.362,0.157,9.9,17.9,536,107,26,8,61,16,111,129.8,22.15,2.27
위즈덤,55645,486,35,0.367,0.3,10.7,29.2,424,44,20,1,52,4,142,133.4,19.47,1.99
문현빈,53764,592,12,0.357,0.133,6.4,13.9,528,125,30,2,38,10,82,125.9,18.37,1.89
케이브,55208,588,16,0.356,0.165,7.3,19.4,533,110,28,6,43,4,114,125.3,17.86,1.83
김현수,76290,547,11,0.355,0.119,11.5,13.3,479,106,24,0,63,4,73,124.7,16.21,1.67
채은성,79192,527,19,0.356,0.179,5.9,18.2,480,91,27,1,31,13,96,125.2,15.95,1.64
최정,75847,402,22,0.364,0.232,12.7,23.4,336,46,12,0,51,12,94,130.9,14.9,1.52
리베라토,55703,273,10,0.384,0.211,8.4,17.2,246,47,18,2,23,0,47,145.5,14.91,1.51
박민우,62907,467,3,0.357,0.124,9.4,13.7,403,86,25,8,44,12,64,125.8,14.44,1.48
강백호,68050,364,15,0.366,0.204,11.8,17.6,318,51,18,1,43,3,64,132.5,14.2,1.45
박건우,79215,440,9,0.355,0.136,10.7,14.3,382,79,23,1,47,5,63,124.4,12.86,1.32
윤동희,52591,392,8,0.357,0.142,12.2,16.1,324,62,20,1,48,11,63,126.2,12.33,1.27
