Player,pcode,Team,Position,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO,wRC+,wRAA,WAR
오스틴,53123,LG,지명타자,391,28,0.462,0.322,11.0,15.3,339,66,19,3,43,6,60,195.4,44.76,4.51
김도영,52605,KIA,지명타자,380,27,0.431,0.311,12.9,16.3,322,52,17,1,49,5,62,172.8,33.2,3.35
페라자,54730,한화,지명타자,378,17,0.418,0.239,14.6,19.8,314,59,22,1,55,3,75,163.5,28.8,2.91
강백호,68050,한화,지명타자,357,25,0.422,0.296,10.4,20.2,314,55,18,0,37,1,72,166.4,28.46,2.88
최정,75847,SSG,지명타자,307,20,0.429,0.306,12.1,22.5,258,41,17,1,37,6,69,171.3,26.28,2.65
최원준,66606,KT,지명타자,387,7,0.406,0.142,11.1,14.7,330,87,20,3,43,7,57,155.0,25.54,2.59
레이예스,54529,롯데,지명타자,378,12,0.401,0.168,8.7,10.6,340,86,19,1,33,2,40,151.6,23.43,2.37
최형우,72443,삼성,지명타자,359,12,0.401,0.175,14.8,14.2,297,67,16,0,53,3,51,151.3,22.08,2.24
구자욱,62404,삼성,지명타자,299,8,0.408,0.176,12.0,15.1,256,61,15,3,36,3,45,156.5,20.27,2.05
나성범,62947,KIA,지명타자,338,17,0.395,0.237,10.7,26.3,295,51,19,0,36,5,89,147.4,19.22,1.95
박민우,62907,NC,지명타자,339,5,0.394,0.121,13.9,11.5,282,70,19,0,47,6,39,146.6,18.95,1.92
박준순,55252,두산,지명타자,247,13,0.416,0.257,4.9,19.8,230,49,10,5,12,4,49,162.6,18.56,1.88
박성한,67893,SSG,지명타자,386,3,0.383,0.098,14.5,11.9,327,83,21,1,56,1,46,138.3,17.76,1.81
디아즈,54400,삼성,지명타자,395,16,0.379,0.199,12.4,15.7,342,63,20,0,49,1,62,135.3,16.72,1.71
송찬의,68110,LG,지명타자,224,9,0.41,0.251,9.8,24.1,191,28,19,1,22,10,54,158.3,15.67,1.59
한준수,68646,KIA,지명타자,264,6,0.395,0.162,13.6,14.0,216,46,17,0,36,6,37,147.1,14.92,1.51
박승규,69418,삼성,지명타자,262,9,0.394,0.217,15.3,14.1,217,38,10,5,40,3,37,146.5,14.62,1.48
힐리어드,56034,KT,지명타자,384,20,0.372,0.233,9.4,27.9,344,60,14,3,36,0,107,130.5,14.04,1.44
안현민,52001,KT,지명타자,160,5,0.431,0.218,16.2,20.0,124,24,8,2,26,8,32,173.2,14.05,1.42
박건우,79215,NC,지명타자,331,16,0.374,0.211,12.4,17.8,280,53,11,0,41,1,59,131.8,12.61,1.29
김주원,51907,NC,지명타자,380,13,0.367,0.165,7.6,13.9,334,70,16,0,29,13,53,126.5,12.06,1.24
문현빈,53764,한화,지명타자,387,9,0.36,0.173,10.9,12.4,335,58,23,4,42,6,48,122.1,10.25,1.06
허인서,52764,한화,지명타자,256,13,0.376,0.21,8.2,28.9,224,45,8,0,21,6,74,133.5,10.29,1.05
류지혁,62234,삼성,지명타자,335,5,0.363,0.132,12.2,14.3,281,62,12,5,41,6,48,123.9,9.62,0.99
문정빈,52121,LG,지명타자,94,7,0.445,0.361,10.6,28.7,83,12,5,2,10,0,27,183.6,9.43,0.95
노시환,69737,한화,지명타자,357,17,0.359,0.214,9.2,26.9,313,51,14,1,33,7,96,121.3,9.11,0.94
에레디아,53827,SSG,지명타자,375,15,0.357,0.181,5.9,15.7,342,68,17,0,22,7,59,119.4,8.75,0.91
김민석,53554,두산,지명타자,302,4,0.359,0.117,10.6,17.2,266,61,15,2,32,2,52,121.2,7.67,0.79
카메론,56251,두산,지명타자,320,9,0.357,0.187,10.0,16.9,283,46,20,3,32,3,54,119.8,7.59,0.79
이우성,63260,NC,지명타자,309,6,0.358,0.115,5.8,14.9,288,74,15,0,18,1,46,120.3,7.54,0.78
데이비슨,54944,NC,지명타자,287,9,0.359,0.164,5.9,23.7,250,48,12,1,17,18,68,121.3,7.34,0.76
허경민,79240,KT,지명타자,201,3,0.368,0.109,8.5,8.5,174,42,10,0,17,8,17,127.1,6.55,0.67
고명준,51868,SSG,지명타자,163,10,0.368,0.243,6.1,21.5,152,26,7,0,10,0,35,127.3,5.33,0.55
권동진,51003,KT,지명타자,162,1,0.364,0.149,13.6,23.5,134,24,11,3,22,2,38,124.3,4.73,0.49
김태연,66704,한화,지명타자,263,6,0.35,0.158,8.4,16.7,222,46,13,2,22,5,44,114.5,4.58,0.48
아데를린,56613,KIA,지명타자,130,10,0.369,0.289,5.4,19.2,121,17,5,0,7,1,25,128.6,4.46,0.46
이재현,52415,삼성,지명타자,149,9,0.364,0.242,12.8,13.4,124,19,3,0,19,2,20,124.3,4.34,0.45
이정훈,67644,KT,지명타자,73,1,0.398,0.068,17.8,9.6,59,18,1,0,13,1,7,149.5,4.34,0.44
안치홍,79608,키움,지명타자,319,7,0.345,0.12,10.0,14.4,283,62,13,0,32,2,46,110.5,4.02,0.43
장성우,78548,KT,지명타자,213,8,0.352,0.198,17.8,24.4,172,20,10,0,38,2,52,115.9,4.05,0.42
카스트로,56626,KIA,지명타자,183,6,0.351,0.175,4.9,17.5,171,34,12,0,9,0,32,115.5,3.4,0.36
김성윤,67449,삼성,지명타자,273,2,0.343,0.088,8.8,11.0,238,61,11,2,24,2,30,109.5,3.13,0.34
윤동희,52591,롯데,지명타자,197,5,0.346,0.161,12.7,23.9,168,25,12,0,25,4,47,111.4,2.7,0.29
박동원,79365,LG,지명타자,280,9,0.34,0.17,13.6,24.3,229,36,12,0,38,4,68,107.4,2.49,0.27
박상준,52634,KIA,지명타자,81,2,0.366,0.13,13.6,30.9,69,15,3,0,11,1,25,126.3,2.55,0.26
한동희,68525,롯데,지명타자,204,7,0.344,0.159,7.8,17.2,182,36,8,0,16,3,35,109.8,2.41,0.26
김성욱,62934,SSG,지명타자,141,4,0.349,0.137,13.5,19.1,117,23,4,0,19,3,27,113.8,2.33,0.25
문보경,69102,LG,지명타자,246,7,0.341,0.134,15.9,18.7,201,38,6,0,39,1,46,107.6,2.24,0.24
강민호,74540,삼성,지명타자,204,6,0.341,0.152,11.3,22.1,178,31,9,0,23,3,45,108.2,2.02,0.22
유준규,51013,KT,지명타자,53,0,0.372,0.136,11.3,24.5,44,11,2,2,6,0,13,130.3,1.93,0.2
박찬형,55530,롯데,지명타자,26,1,0.417,0.12,0.0,30.8,25,9,0,0,0,1,8,162.7,1.96,0.2
고준휘,56949,NC,지명타자,45,2,0.379,0.22,4.4,20.0,41,7,3,0,2,2,9,135.6,1.92,0.2
권희동,63963,NC,지명타자,143,3,0.344,0.117,14.7,17.5,120,24,5,0,21,1,25,110.3,1.76,0.19
최준우,68868,SSG,지명타자,48,1,0.375,0.128,16.7,14.6,39,8,2,0,8,1,7,132.6,1.88,0.19
서건창,78168,키움,지명타자,237,1,0.337,0.08,11.0,9.3,200,47,7,3,26,6,22,105.3,1.49,0.17
김현수,76290,KT,지명타자,380,6,0.333,0.116,8.2,11.1,346,72,22,0,31,1,42,102.5,1.14,0.15
전의산,50820,SSG,지명타자,106,4,0.344,0.188,8.5,30.2,96,16,6,0,9,0,32,110.2,1.29,0.14
김현준,51417,삼성,지명타자,21,0,0.405,0.059,14.3,9.5,17,5,1,0,3,1,2,154.5,1.37,0.14
히우라,56305,키움,지명타자,149,6,0.34,0.169,10.1,33.6,130,23,4,0,15,3,50,107.2,1.29,0.14
김지찬,50458,삼성,지명타자,335,0,0.334,0.036,13.1,6.9,277,77,6,2,44,3,23,102.9,1.17,0.14
