Player,IP,SO,FIP,K/9,BB/9
99314,6.3,6,2.25,8.53,0.0
64267,8.0,6,2.45,6.75,2.25
67143,5.7,5,2.49,7.94,1.59
65392,13.3,11,2.68,7.42,2.7
66138,121.3,97,2.75,7.2,1.04
74857,57.0,78,2.81,12.32,3.0
65062,35.0,28,3.0,7.2,2.83
62698,178.0,145,3.08,7.33,1.92
60757,11.7,17,3.11,13.11,6.94
76118,74.0,63,3.17,7.66,2.07
77563,61.7,56,3.2,8.17,2.34
95657,48.0,57,3.33,10.69,4.12
77927,64.7,79,3.35,10.99,3.62
63342,41.0,40,3.37,8.78,3.29
65856,178.0,173,3.37,8.75,2.28
75321,58.7,57,3.42,8.74,1.69
61891,16.0,15,3.45,8.44,3.38
70839,3.7,1,3.47,2.45,0.0
67246,42.0,34,3.56,7.29,2.57
78819,18.0,10,3.59,5.0,2.5
76350,47.7,42,3.6,7.93,2.83
63248,130.3,127,3.61,8.77,4.42
64001,134.7,107,3.62,7.15,1.07
77637,177.3,139,3.64,7.05,2.28
62322,132.0,123,3.64,8.39,2.93
65696,4.3,2,3.66,4.15,4.15
62754,112.7,68,3.67,5.43,1.44
67948,108.0,79,3.69,6.58,2.75
72862,37.0,42,3.69,10.22,3.89
71118,45.3,34,3.71,6.75,1.99
61895,44.3,49,3.72,9.95,4.67
77263,84.0,68,3.76,7.29,3.43
79545,5.0,6,3.8,10.8,9.0
74513,169.3,115,3.91,6.11,2.71
66309,5.7,4,3.91,6.35,1.59
76455,168.0,137,3.92,7.34,2.04
60140,57.0,56,3.94,8.84,3.79
75537,21.3,18,3.95,7.59,5.48
66643,186.0,141,3.96,6.82,2.18
76650,50.3,45,3.97,8.05,2.68
65056,50.3,39,3.97,6.97,3.93
65546,175.0,148,3.97,7.61,2.26
72523,38.0,32,3.99,7.58,5.21
67748,105.0,70,4.03,6.0,2.57
77211,68.0,50,4.05,6.62,3.57
78552,36.3,33,4.05,8.17,3.72
67119,24.7,22,4.05,8.03,4.01
76329,46.7,36,4.06,6.94,3.09
65543,69.0,65,4.07,8.48,2.35
75867,87.0,90,4.07,9.31,2.79
65331,154.0,120,4.07,7.01,1.81
75138,30.0,29,4.07,8.7,4.5
66047,11.0,7,4.11,5.73,4.91
63938,154.0,85,4.12,4.97,1.69
77446,96.3,90,4.12,8.41,3.36
78148,57.7,49,4.14,7.65,3.9
63512,81.7,87,4.18,9.59,5.07
61457,10.0,4,4.2,3.6,3.6
67645,167.7,139,4.23,7.46,2.09
60636,47.7,46,4.23,8.69,3.97
65616,12.3,8,4.25,5.84,0.0
61643,55.3,37,4.28,6.02,3.42
73248,63.0,39,4.3,5.57,2.43
76355,62.0,51,4.3,7.4,2.47
63959,28.7,29,4.32,9.1,4.71
65320,140.0,113,4.34,7.26,2.19
62929,85.0,75,4.34,7.94,3.28
67559,67.3,52,4.34,6.95,3.34
67742,108.3,57,4.36,4.74,1.91
74359,69.0,50,4.37,6.52,1.96
75342,49.3,55,4.38,10.03,3.1
74454,164.3,124,4.38,6.79,2.03
79229,178.7,99,4.4,4.99,2.07
67313,133.7,88,4.41,5.93,1.75
63111,123.0,101,4.42,7.39,4.02
76653,4.0,2,4.45,4.5,6.75
61101,116.0,108,4.47,8.38,3.49
66801,4.7,6,4.49,11.57,9.64
64051,7.7,4,4.5,4.7,4.7
79349,9.0,6,4.53,6.0,8.0
67815,122.0,56,4.54,4.13,2.58
62363,100.3,75,4.54,6.73,1.52
61240,171.0,145,4.55,7.63,4.05
75258,49.0,40,4.57,7.35,6.06
73117,124.7,96,4.58,6.93,1.66
78352,60.3,59,4.59,8.8,3.43
62937,117.0,70,4.61,5.38,1.92
66741,77.7,50,4.62,5.79,2.2
75340,18.7,17,4.65,8.2,6.27
76430,59.3,46,4.67,6.98,3.34
65064,43.0,39,4.67,8.16,6.28
70425,121.3,83,4.69,6.16,2.15
61666,36.3,35,4.69,8.67,5.7
72535,25.7,15,4.72,5.26,2.81
65067,14.3,8,4.73,5.02,1.88
74748,19.7,9,4.73,4.12,5.03
64021,162.0,110,4.73,6.11,3.11
77591,122.0,96,4.76,7.08,3.02
62892,8.3,3,4.76,3.24,2.16
74167,55.0,45,4.76,7.36,3.6
77452,33.7,18,4.77,4.81,1.34
60845,41.0,36,4.79,7.9,4.39
61411,73.0,96,4.8,11.84,5.42
77318,48.0,52,4.85,9.75,5.81
79825,3.0,2,4.87,6.0,9.0
99445,52.7,54,4.89,9.23,2.39
71845,47.0,39,4.9,7.47,2.87
73738,82.3,50,4.92,5.47,3.06
64596,45.7,35,4.93,6.9,4.93
78366,8.0,7,4.95,7.88,3.38
61329,32.0,19,4.95,5.34,2.81
74838,114.3,68,4.96,5.35,2.6
64759,13.7,10,4.96,6.59,1.98
63950,128.0,111,4.96,7.8,4.64
