Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
이동현,71118,5.0,15,6,0,0,0,5,1.2,9.0,0.0
이현승,76329,6.0,18,4,0,0,0,4,1.87,6.0,0.0
임정호,63959,4.2,14,3,0,2,0,6,1.91,11.57,3.86
백인식,78819,4.0,12,7,0,1,0,4,1.95,9.0,2.25
홍성민,62655,12.1,37,17,0,0,1,7,2.31,5.11,0.0
산체스,68815,164.0,492,151,2,42,2,148,2.36,8.12,2.3
문경찬,65643,54.2,164,45,2,10,0,50,2.4,8.23,1.65
김현수,69516,6.1,19,3,0,1,0,4,2.41,5.68,1.42
양현종,77637,186.1,559,166,6,33,2,163,2.43,7.87,1.59
오주원,74359,53.1,160,54,1,7,3,40,2.51,6.75,1.18
이영준,64051,34.1,103,39,0,5,0,19,2.53,4.98,1.31
김성민,67828,56.1,169,53,0,11,2,38,2.54,6.07,1.76
양기현,67365,5.0,15,12,0,1,0,3,2.6,5.4,1.8
하재훈,69813,59.1,178,47,1,26,1,64,2.63,9.71,3.94
린드블럼,65543,195.0,585,165,13,29,6,190,2.66,8.77,1.34
서진용,61895,68.1,205,53,2,28,2,76,2.67,10.01,3.69
조상우,63342,47.0,141,45,3,8,2,46,2.71,8.81,1.53
김승회,73248,58.2,176,57,1,16,2,46,2.77,7.06,2.45
김광현,77829,190.0,570,198,13,38,2,182,2.81,8.62,1.8
정찬헌,78148,11.0,33,11,0,6,0,11,2.84,9.0,4.91
한선태,69111,7.1,22,6,0,1,1,4,2.93,4.91,1.23
전상현,66609,60.1,181,45,3,21,2,62,2.93,9.25,3.13
후랭코프,68240,117.0,351,110,5,30,13,111,2.96,8.54,2.31
라이블리,69439,57.1,172,51,4,13,5,58,3.03,9.1,2.04
김태훈,79847,69.2,209,62,4,26,4,76,3.06,9.82,3.36
최원태,65320,157.1,472,165,5,36,5,105,3.06,6.01,2.06
브리검,67313,157.2,473,148,5,46,12,130,3.07,7.42,2.63
윌슨,68135,185.2,557,171,7,44,10,137,3.09,6.64,2.13
원종현,76118,60.1,181,62,4,17,3,59,3.1,8.8,2.54
요키시,69343,175.2,527,160,9,37,10,135,3.13,6.92,1.9
한현희,62363,58.1,175,50,1,20,7,49,3.13,7.56,3.09
윤영삼,61456,61.0,183,58,5,13,1,55,3.15,8.11,1.92
최원준,67263,55.0,165,52,1,16,4,38,3.15,6.22,2.62
전유수,75340,66.1,199,66,2,17,4,46,3.15,6.24,2.31
