Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
박신지,68249,3.0,9,9,0,1,0,3,2.2,9.0,3.0
브룩스,50636,146.0,438,131,4,24,3,130,2.33,8.01,1.48
플렉센,50234,116.0,348,97,6,30,2,132,2.42,10.24,2.33
김진성,75867,40.0,120,41,4,10,0,56,2.45,12.6,2.25
구창모,65933,93.0,279,58,7,18,0,102,2.57,9.87,1.74
박준표,63638,41.0,123,41,3,8,0,44,2.59,9.66,1.76
조상우,63342,50.0,150,50,3,18,2,64,2.62,11.52,3.24
강재민,50705,37.0,111,41,3,18,0,57,2.63,13.86,4.38
스트레일리,50558,192.0,576,148,10,51,7,205,2.65,9.61,2.39
정수민,66960,15.0,45,11,0,5,0,11,2.73,6.6,3.0
함덕주,63248,46.0,138,55,2,21,0,55,2.74,10.76,4.11
알칸타라,69045,198.0,594,174,12,30,9,182,2.74,8.27,1.36
이승헌,68529,35.0,105,34,1,11,2,34,2.74,8.74,2.83
요키시,69343,157.0,471,144,6,25,6,115,2.82,6.59,1.43
고우석,67119,34.0,102,37,2,19,2,51,2.82,13.5,5.03
이창재,65057,7.0,21,10,0,4,0,7,2.91,9.0,5.14
전상현,66609,43.0,129,35,4,22,0,64,2.97,13.4,4.6
정우람,74857,49.0,147,58,4,12,5,53,3.14,9.73,2.2
오승환,75421,43.0,129,44,2,15,2,39,3.18,8.16,3.14
김건국,76225,25.0,75,30,2,9,3,31,3.2,11.16,3.24
이승진,64805,44.0,132,55,3,22,2,54,3.27,11.05,4.5
진해수,76650,25.0,75,54,3,23,4,59,3.28,21.24,8.28
브리검,67313,104.0,312,98,6,42,5,105,3.29,9.09,3.63
김민규,68200,47.0,141,47,3,22,3,54,3.33,10.34,4.21
가뇽,50640,152.0,456,162,7,64,9,141,3.38,8.35,3.79
우규민,73117,40.0,120,61,3,9,1,30,3.43,6.75,2.02
김대우,78536,42.0,126,48,1,26,2,43,3.46,9.21,5.57
김태훈,62360,51.0,153,70,1,22,5,40,3.47,7.06,3.88
안우진,68341,30.0,90,20,3,17,0,41,3.47,12.3,5.1
루친스키,69940,181.0,543,173,14,57,11,167,3.49,8.3,2.83
소형준,50030,129.0,387,141,6,45,6,92,3.56,6.42,3.14
김상수,76430,40.0,120,52,3,21,3,48,3.58,10.8,4.72
이보근,75342,37.0,111,42,2,12,2,27,3.58,6.57,2.92
김재윤,65062,49.0,147,62,7,15,0,58,3.61,10.65,2.76
이현승,76329,26.0,78,48,2,21,2,42,3.62,14.54,7.27
양현종,77637,168.0,504,180,13,64,5,149,3.66,7.98,3.43
조현우,64047,34.0,102,38,1,22,1,33,3.67,8.74,5.82
한현희,62363,130.0,390,141,10,37,14,109,3.7,7.55,2.56
켈리,69103,173.0,519,160,16,40,11,134,3.74,6.97,2.08
임기영,62754,122.0,366,152,12,33,9,106,3.77,7.82,2.43
이상동,69054,5.0,15,11,0,3,0,3,3.8,5.4,5.4
최채흥,68419,141.0,423,131,12,51,7,123,3.8,7.85,3.26
정찬헌,78148,108.0,324,116,10,31,4,85,3.8,7.08,2.58
문승원,62869,143.0,429,136,13,45,6,117,3.82,7.36,2.83
윌슨,68135,142.0,426,161,13,39,8,109,3.85,6.91,2.47
윤희상,74838,3.0,9,1,0,2,0,2,3.87,6.0,6.0
이인복,64565,33.0,99,57,2,12,1,21,3.9,5.73,3.27
최성훈,62146,23.0,69,36,1,16,1,24,3.9,9.39,6.26
정우영,69159,55.0,165,48,3,29,11,59,3.95,9.65,4.75
원종현,76118,47.0,141,56,4,20,2,41,3.97,7.85,3.83
데스파이네,50040,203.0,609,233,18,68,8,152,3.98,6.74,3.01
최동환,79140,46.0,138,54,6,12,2,42,3.98,8.22,2.35
뷰캐넌,50404,172.0,516,172,16,50,7,121,4.0,6.33,2.62
라이트,50912,155.0,465,164,12,63,10,125,4.01,7.26,3.66
임찬규,61101,144.0,432,143,14,65,5,138,4.01,8.62,4.06
박치국,67266,59.0,177,65,5,34,5,66,4.05,10.07,5.19
장민재,79764,54.0,162,86,5,13,2,32,4.05,5.33,2.17
김동혁,50360,8.0,24,8,1,1,1,6,4.08,6.75,1.12
이준영,65665,9.0,27,31,1,13,0,22,4.09,22.0,13.0
김진영,67737,45.0,135,48,6,22,3,56,4.11,11.2,4.4
라이블리,69439,110.0,330,98,11,39,12,95,4.16,7.77,3.19
양현,61268,48.0,144,58,4,17,3,33,4.16,6.19,3.19
쿠에바스,69032,154.0,462,152,16,46,9,110,4.19,6.43,2.69
