Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
폰세,55730,180.7,542,128,10,41,6,251,1.92,12.5,2.04,6.79
앤더슨,54833,170.7,512,121,13,51,9,245,2.37,12.92,2.69,5.56
치리노스,55146,176.3,529,173,5,36,9,137,2.78,6.99,1.84,4.94
와이스,54755,178.7,536,127,13,56,13,207,2.99,10.43,2.82,4.6
잭로그,55239,171.0,513,141,8,38,17,152,3.0,8.0,2.0,4.39
네일,54640,158.0,474,132,6,36,15,147,2.8,8.37,2.05,4.39
라일리,55903,172.3,517,136,18,56,3,216,3.08,11.28,2.92,4.26
올러,55633,148.7,446,125,8,47,8,169,2.74,10.23,2.85,4.24
소형준,50030,146.7,440,155,6,29,3,123,2.71,7.55,1.78,4.23
고영표,64001,159.7,479,170,10,30,15,154,2.93,8.68,1.69,4.21
후라도,53375,197.3,592,177,17,36,4,142,3.49,6.48,1.64,3.98
문동주,52701,120.0,360,112,7,31,3,135,2.56,10.12,2.33,3.66
손주영,67143,153.0,459,153,8,49,4,132,3.19,7.76,2.88,3.59
헤이수스,54354,164.3,493,173,17,44,8,165,3.49,9.04,2.41,3.32
임찬규,61101,160.0,480,163,9,40,6,107,3.46,6.02,2.25,3.28
류현진,76715,139.0,417,144,12,25,4,122,3.19,7.9,1.62,3.26
화이트,55855,129.3,388,105,7,42,7,129,3.05,8.98,2.92,3.24
하영민,64350,152.3,457,169,13,41,9,134,3.53,7.92,2.42,2.99
박세웅,64021,159.7,479,183,15,54,8,155,3.64,8.74,3.04,2.94
알칸타라,69045,121.0,363,125,11,10,4,92,3.21,6.84,0.74,2.82
김광현,77829,143.3,430,164,13,50,4,138,3.58,8.67,3.14,2.74
감보아,55532,107.3,322,97,6,49,4,117,3.23,9.81,4.11,2.47
송승기,51111,144.7,434,149,15,49,1,125,3.86,7.78,3.05,2.33
오원석,50859,132.0,396,130,10,51,4,113,3.72,7.7,3.48,2.32
원태인,69446,166.7,500,157,20,27,6,108,4.06,5.83,1.46,2.31
데이비슨,55536,122.3,367,123,10,48,5,119,3.62,8.75,3.53,2.29
양현종,77637,153.3,460,171,12,57,4,109,3.99,6.4,3.35,2.24
곽빈,68220,108.0,324,96,9,41,2,107,3.5,8.92,3.42,2.17
노경은,73211,78.3,235,60,2,25,3,68,2.87,7.81,2.87,2.12
나균안,67539,136.7,410,143,13,50,5,116,3.95,7.64,3.29,2.06
로건,55912,165.7,497,175,18,65,10,143,4.24,7.77,3.53,1.95
조병현,51897,66.3,199,42,5,18,0,77,2.67,10.45,2.44,1.94
로젠버그,55322,75.0,225,63,5,25,4,80,3.09,9.6,3.0,1.84
정해영,50662,61.0,183,73,4,18,3,71,2.76,10.48,2.66,1.73
최승용,51264,115.7,347,121,8,36,6,71,3.96,5.52,2.8,1.73
콜어빈,55257,145.0,435,142,9,79,18,128,4.25,7.94,4.9,1.7
김도현,69745,125.0,375,149,11,33,10,71,4.24,5.11,2.38,1.48
전상현,66609,68.3,205,63,4,20,1,49,3.45,6.45,2.63,1.41
패트릭,55032,60.7,182,63,2,21,2,45,3.28,6.68,3.12,1.36
이로운,53892,76.3,229,56,7,26,0,65,3.71,7.66,3.07,1.35
전사민,69969,80.7,242,86,3,33,11,61,3.81,6.81,3.68,1.34
김영우,55167,60.0,180,48,2,29,3,56,3.37,8.4,4.35,1.29
최원태,65320,117.3,352,117,12,50,11,104,4.32,7.98,3.84,1.29
김진성,75867,70.0,210,60,7,22,0,62,3.67,7.97,2.83,1.27
김서현,53754,66.0,198,52,4,31,8,71,3.61,9.68,4.23,1.24
김택연,54263,66.0,198,47,6,30,5,77,3.64,10.5,4.09,1.22
손동현,69041,57.3,172,66,6,11,3,54,3.41,8.48,1.73,1.21
박치국,67266,61.7,185,58,4,21,7,57,3.56,8.32,3.06,1.2
에르난데스,54119,66.0,198,53,7,24,5,73,3.68,9.95,3.27,1.19
정우주,55743,54.0,162,34,6,21,10,82,3.33,13.67,3.5,1.18
홍민기,50596,32.0,96,24,0,11,2,39,1.98,10.97,3.09,1.18
김범수,65769,48.3,145,30,0,22,4,41,3.12,7.63,4.1,1.17
성영탁,54610,50.7,152,37,2,12,0,30,3.24,5.33,2.13,1.16
김민,68043,62.7,188,60,7,16,6,64,3.66,9.19,2.3,1.14
박상원,67703,65.3,196,67,4,21,8,52,3.74,7.16,2.89,1.14
가라비토,55460,71.3,214,52,6,35,6,76,3.89,9.59,4.42,1.12
김원중,62528,59.0,177,58,4,33,2,67,3.59,10.22,5.03,1.12
톨허스트,55130,43.3,130,39,2,16,2,45,2.97,9.35,3.32,1.12
한승혁,61666,63.7,191,56,4,23,7,53,3.77,7.49,3.25,1.09
최준용,50556,52.0,156,49,5,16,6,60,3.41,10.38,2.77,1.09
정철원,68242,67.7,203,71,4,27,7,55,3.85,7.32,3.59,1.09
이영하,66291,66.3,199,61,4,39,6,72,3.85,9.77,5.29,1.07
김태훈,62360,65.3,196,66,8,26,2,73,3.84,10.06,3.58,1.06
양창섭,68415,61.7,185,65,3,19,9,44,3.77,6.42,2.77,1.05
백정현,77446,32.3,97,19,1,7,2,31,2.52,8.63,1.95,1.0
우규민,73117,43.0,129,44,2,3,4,23,3.22,4.81,0.63,0.99
이승민,50464,62.3,187,59,5,25,3,53,3.89,7.65,3.61,0.98
메르세데스,55342,46.0,138,54,5,9,0,41,3.42,8.02,1.76,0.96
유영찬,50106,40.7,122,31,2,23,3,52,3.2,11.51,5.09,0.95
김건우,51867,66.3,199,53,2,49,7,68,4.07,9.23,6.65,0.91
박영현,52060,68.0,204,67,9,33,2,77,4.2,10.19,4.37,0.83
