Player,pcode,Team,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
곽빈,68220,두산,100.0,300,89,6,29,4,121,2.55,10.89,2.61,3.41
류현진,76715,한화,90.0,270,86,4,12,3,72,2.68,7.2,1.2,2.95
네일,54640,KIA,107.0,321,99,5,22,12,84,3.19,7.07,1.85,2.89
올러,55633,KIA,103.0,309,67,8,35,6,116,3.15,10.14,3.06,2.83
최민석,55268,두산,95.0,285,78,3,38,4,90,3.04,8.53,3.6,2.72
벤자민,52043,두산,77.0,231,78,3,21,1,75,2.62,8.77,2.45,2.57
고영표,64001,KT,91.0,273,104,10,12,6,95,3.13,9.4,1.19,2.52
비슬리,56523,롯데,88.0,264,98,6,28,9,100,3.08,10.23,2.86,2.49
원태인,69446,삼성,76.0,228,88,3,17,6,70,2.78,8.29,2.01,2.4
알칸타라,69045,키움,107.0,321,105,15,13,2,98,3.61,8.24,1.09,2.39
안우진,68341,키움,55.0,165,50,2,18,1,74,2.02,12.11,2.95,2.2
보쉴리,56036,KT,68.0,204,73,3,15,1,59,2.74,7.81,1.99,2.18
후라도,53375,삼성,110.0,330,117,11,22,4,73,3.88,5.97,1.8,2.13
잭로그,55239,두산,96.0,288,116,11,17,6,83,3.68,7.78,1.59,2.07
구창모,65933,NC,92.0,276,87,9,24,3,80,3.61,7.83,2.35,2.05
소형준,50030,KT,65.0,195,73,3,15,3,58,2.85,8.03,2.08,2.01
웰스,55348,LG,83.0,249,71,7,23,2,72,3.47,7.81,2.49,1.99
톨허스트,55130,LG,94.0,282,93,8,28,8,80,3.75,7.66,2.68,1.95
라일리,55903,NC,66.0,198,61,10,14,0,90,3.08,12.27,1.91,1.87
테일러,56966,NC,88.0,264,80,3,38,10,68,3.73,6.95,3.89,1.85
배동현,51761,키움,77.0,231,97,7,21,2,68,3.51,7.95,2.45,1.81
박세웅,64021,롯데,94.0,282,105,10,34,6,91,3.92,8.71,3.26,1.78
임찬규,61101,LG,97.0,291,115,7,28,3,53,4.0,4.92,2.6,1.75
